t,Low (O:C≤0.3),Medium (0.3–0.6),High (0.6–1.0),Very high (O:C>1.0)
2025-08-11 14:23:58,42.919014724160576,103.07956016655216,120.96051400409578,188.6836791198145
2025-08-11 14:25:12,39.87288781445836,101.94131710179951,125.3960429756776,195.11711325988003
2025-08-11 14:26:29,40.8859048681438,107.66997337093774,122.65224880940508,191.57102572013503
2025-08-11 14:27:39,40.808820969911004,100.77705842175008,125.95211456625641,192.01267000492666
2025-08-11 14:28:51,48.54028233039563,129.29435407832997,128.27371349299156,191.70550237962652
2025-08-11 14:30:03,115.2459297401523,887.5175559228901,345.5059901942221,195.47264773358577
2025-08-11 14:31:15,309.18595269497655,2952.6170973444728,817.5635119506974,199.0885522836847
2025-08-11 14:32:29,268.0749881459958,2600.7440049750367,677.0104365749215,202.75255285049914
2025-08-11 14:33:43,169.68667294892788,1526.84210208373,423.2836038057918,188.50925754424426
2025-08-11 14:34:57,138.50720717698755,1205.4195769494106,355.5871258327963,189.52000031827563
2025-08-11 14:36:05,129.29823600073698,1152.19948014175,380.93001438990325,186.34364229969103
2025-08-11 14:37:19,104.1580021321569,853.6956476834241,302.2141663462972,187.33513100263093
2025-08-11 14:38:35,102.11099678879403,802.5017021771462,287.93335178019464,201.49455903921003
2025-08-11 14:39:47,92.66199938908461,772.2402004967572,304.08627573876527,198.2630150377266
2025-08-11 14:40:59,88.66105254291726,630.7340345309788,262.97603420274,198.96984518222382
2025-08-11 14:42:13,85.32571331587367,629.9779004927296,259.3636110172179,204.20483373932854
2025-08-11 14:43:29,76.67425582515337,581.599350599977,247.42977644478208,185.9388697625559
2025-08-11 14:44:39,84.04765875322782,615.520299893908,263.6381026578323,207.69703709240653
2025-08-11 14:45:55,73.96684943365973,556.0936549427211,252.07109775647876,194.2107590136015
2025-08-11 14:47:09,67.12397440933692,470.33116400004644,221.58752053553926,206.91474176980347
2025-08-11 14:48:21,67.0116728305713,480.5205586252746,234.02139285823924,203.61843041852921
2025-08-11 14:49:35,61.5990607922711,446.3427484825903,235.18743752702844,192.7849230265749
2025-08-11 14:50:47,59.95113638782085,417.7575155085621,228.14153029760953,195.5365562981679
2025-08-11 14:51:59,67.5656302219059,462.62453317923195,252.27543671702415,214.21414872224213
2025-08-11 14:53:13,58.09952893741306,375.32341765135897,214.1731880518322,191.68243564861925
2025-08-11 14:54:27,61.67817313875201,384.57511025994796,218.65230343914286,204.08904312047042
2025-08-11 14:55:37,63.480765998773684,438.3120992961629,238.1569996820118,215.78269372167927
