t,Low (O:C≤0.3),Medium (0.3–0.6),High (0.6–1.0),Very high (O:C>1.0)
2025-08-11 14:23:12,640.765341104145,105.22814928730915,13.60024663341141,4.528990272539318
2025-08-11 14:24:20,595.5371640760924,115.24431183949572,10.989076616959274,4.183477432137533
2025-08-11 14:25:34,643.1215261293221,119.74551237339675,8.807465640497231,1.6320569327676917
2025-08-11 14:26:49,632.6676802237639,105.5165938862578,9.226588231074762,2.7696240845883215
2025-08-11 14:28:01,619.5968759458414,105.46115379583054,11.477369616986355,2.322210265831976
2025-08-11 14:29:13,754.2764139976873,160.92851748322366,17.271239244480824,4.0242451381306665
2025-08-11 14:30:25,2923.142086696724,2203.0470087553126,650.554129954958,67.13043942391603
2025-08-11 14:31:39,4982.650758388863,2847.5710604511146,823.6250905542703,83.17672170153418
2025-08-11 14:32:49,6332.093115299246,1768.0833685240752,401.78467219526937,46.29867822618415
2025-08-11 14:34:03,6688.279996493753,1283.235891783366,248.4137797152908,30.081297320658045
2025-08-11 14:35:19,6224.72137716717,937.1663909196486,147.69504655593556,22.661281951441417
2025-08-11 14:36:27,5842.517873152604,799.0937029009668,120.99224052253766,18.976919695839527
2025-08-11 14:37:41,5469.510933112438,711.4715092347831,99.42782364236461,16.96055918851598
2025-08-11 14:38:55,4791.612261444514,577.8746362751667,69.82544787883573,12.768851295596923
2025-08-11 14:40:09,4726.960058425272,622.2075581471812,93.95297495782667,12.635016518779096
2025-08-11 14:41:23,4282.962231497956,546.9055621089278,73.42192817298736,11.537362348042802
2025-08-11 14:42:35,4239.783032863354,523.9161619635435,80.85012845706646,11.760350400345846
2025-08-11 14:43:51,3969.5504190842616,481.37481886809087,71.83638856645574,12.736150193886557
2025-08-11 14:45:01,3743.589773876421,452.47215970824084,64.26551100270001,11.484556527317018
2025-08-11 14:46:15,3672.59673216657,471.5967108798381,83.32802948278665,11.735585446650006
2025-08-11 14:47:31,3390.687040986642,406.0241055287722,64.88525898658904,8.926637455692823
2025-08-11 14:48:43,3234.8462258897885,381.76632995594787,58.74359590777182,8.265122277650708
2025-08-11 14:49:57,3179.2401723798935,390.4138030324863,70.49167516691647,7.374476411496138
2025-08-11 14:51:11,3295.2408424607584,465.314909693531,94.51349412980628,14.409799035743553
2025-08-11 14:52:21,2923.9889600240026,405.57981971219453,68.98801920012673,11.815577575537935
2025-08-11 14:53:33,3038.015356020575,433.7354159213864,84.29200237381069,12.275270612876248
2025-08-11 14:54:47,2720.7759539503777,342.068996370706,55.818949262926,8.287115176772398
2025-08-11 14:56:01,2633.669035947546,312.30617787686924,48.35105800222006,4.317983150899033
2025-08-11 14:57:15,2601.800458558202,329.04794040616844,54.84160051387225,7.875295373799162
2025-08-11 14:58:31,2603.677044985393,344.51397207415005,60.905876067433255,9.641693089960965
2025-08-11 14:59:47,2438.1848869638698,289.6366907832195,50.42666053509922,7.3245948223398525
2025-08-11 15:01:01,2352.9255216100037,253.13548999935358,38.71639247570227,4.493755153041521
2025-08-11 15:02:09,3003.666663897405,389.8252132456943,79.79532256287773,9.984590106825149
2025-08-11 15:03:23,2346.5516864111223,302.58486246341204,37.63880009265702,6.964079705362588
2025-08-11 15:04:37,2277.657184265777,275.1366529618734,44.24955616422508,6.961839255930065
2025-08-11 15:05:47,2299.368524908644,292.98376467182925,45.84477799563079,6.732512368923034
2025-08-11 15:07:01,2285.6233036359645,311.4119178611911,56.79182053653744,8.233544592439697
2025-08-11 15:08:15,2244.5756894896062,282.981967692582,45.48226007133956,5.903996407675801
2025-08-11 15:09:29,2237.464928276979,270.9177668971896,45.39675941574697,6.873195043974012
2025-08-11 15:10:41,2178.339231063614,288.9204353406315,46.6608690424134,5.609470874246641
2025-08-11 15:11:57,2074.068831037909,262.1279087088323,42.70418539481824,4.935219458124295
